Date,Price,open,high,low,volume,Change %,close
2020-01-07,27586.93,27339.68,27699.59,27295.49,446330000.0,0.009000000000000001,27586.93
2020-01-08,28562.48,27579.57,28562.48,27579.57,741820000.0,0.0354,28562.48
2020-01-09,29395.57,28562.48,29484.1,28539.16,693190000.0,0.0292,29395.57
2020-01-10,29415.39,29393.88,29585.13,28858.83,280860000.0,0.0007000000000000001,29415.39
2020-01-13,29633.58,29415.39,29909.06,29415.39,348240000.0,0.0074,29633.58
2020-01-14,29283.15,29633.58,29812.97,29037.12,666780000.0,-0.0118,29283.15
2020-01-15,29062.5,29030.41,29094.14,28855.22,360080000.0,-0.0075,29062.5
2020-01-16,29352.13,29062.5,29497.97,29062.5,387160000.0,0.01,29352.13
2020-01-17,29618.52,29352.13,29623.55,29331.35,324970000.0,0.0091,29618.52
2020-01-20,29710.56,29618.52,29713.84,29545.93,266950000.0,0.0031,29710.56
2020-01-21,29462.76,29713.61,29723.75,29360.13,272840000.0,-0.0083,29462.76
2020-01-22,29458.21,29461.2,29488.93,29244.41,315670000.0,-0.0002,29458.21
2020-01-27,29552.99,29628.84,29648.35,29552.99,444010000.0,-0.0026,29552.99
2020-01-28,29378.63,29525.56,29529.6,29347.09,250930000.0,-0.0059,29378.63
2020-01-29,29110.9,29378.63,29381.95,29054.23,242760000.0,-0.0091,29110.9
2020-01-30,29030.93,29110.9,29222.83,28898.74,274430000.0,-0.0027,29030.93
2020-01-31,28843.53,29035.55,29096.29,28817.45,348560000.0,-0.006500000000000001,28843.53
2020-02-03,28533.4,28843.53,28843.53,28389.6,246510000.0,-0.0108,28533.4
2020-02-04,28432.27,28533.4,28540.3,28415.12,254850000.0,-0.0034999999999999996,28432.27
2020-02-05,28093.76,28432.27,28506.63,28032.23,350210000.0,-0.011899999999999999,28093.76
2020-02-06,28140.41,28093.76,28385.36,27949.15,317190000.0,0.0017000000000000001,28140.41
2020-02-07,28067.09,28140.41,28195.75,28054.73,303930000.0,-0.0026,28067.09
2020-02-10,27773.2,28067.09,28119.19,27772.16,200160000.0,-0.0105,27773.2
2020-02-11,27871.9,27769.07,27936.16,27637.33,276270000.0,0.0036,27871.9
2020-02-12,27878.43,27871.9,27919.1,27866.46,152340000.0,0.0002,27878.43
2020-02-13,27864.84,27881.45,27916.64,27686.34,150720000.0,-0.0005,27864.84
2020-02-14,27755.87,27864.84,27879.31,27675.52,132509999.99999999,-0.0039000000000000003,27755.87
2020-02-17,27570.94,27756.56,27818.09,27507.99,134610000.0,-0.0067,27570.94
2020-02-18,27547.56,27570.94,27570.94,27527.51,168070000.0,-0.0008,27547.56
2020-02-19,27523.08,27547.56,27556.13,27512.72,290130000.0,-0.0009,27523.08
2020-02-20,27568.91,27523.26,27622.42,27292.61,484990000.0,0.0017000000000000001,27568.91
2020-02-21,27388.62,27568.91,27614.65,27236.53,421220000.0,-0.006500000000000001,27388.62
2020-02-24,27041.03,27388.62,27515.79,27000.85,428960000.0,-0.0127,27041.03
2020-02-25,27033.1,27041.03,27105.46,27031.71,241710000.0,-0.0003,27033.1
2020-02-26,26974.38,27033.1,27033.9,26870.39,228360000.0,-0.0022,26974.38
2020-02-27,26808.24,26974.38,26977.4,26796.43,231520000.0,-0.0062,26808.24
2020-02-28,26216.46,26808.24,26808.24,26216.46,416280000.0,-0.022099999999999998,26216.46
2020-03-02,25816.57,26143.02,26170.58,25816.57,325260000.0,-0.015300000000000001,25816.57
2020-03-03,26255.11,25816.57,26344.55,25816.57,387420000.0,0.017,26255.11
2020-03-04,26415.54,26283.35,26438.78,26256.24,307660000.0,0.0060999999999999995,26415.54
2020-03-05,26426.2,26418.82,26626.07,26408.25,431900000.0,0.0004,26426.2
2020-03-06,26279.61,26426.2,26455.26,26273.58,361080000.0,-0.0055000000000000005,26279.61
2020-03-09,25647.54,26141.24,26141.24,25648.45,185490000.0,-0.0241,25647.54
2020-03-10,24388.66,25412.57,25412.57,24381.88,594470000.0,-0.049100000000000005,24388.66
2020-03-11,23572.75,24278.53,24321.51,23260.07,1390000000.0,-0.0335,23572.75
2020-03-12,22695.88,23500.46,23500.46,22694.32,1060000000.0,-0.037200000000000004,22695.88
2020-03-13,22734.07,22729.01,22813.47,22550.08,732620000.0,0.0017000000000000001,22734.07
2020-03-16,22705.19,22745.39,22797.39,22618.36,551480000.0,-0.0013,22705.19
2020-03-17,22543.07,22705.19,23008.59,22497.73,675820000.0,-0.0070999999999999995,22543.07
2020-03-18,22789.64,22549.09,22804.7,22118.37,671520000.0,0.0109,22789.64
2020-03-19,22118.9,22785.19,22785.19,22118.9,525850000.0,-0.0294,22118.9
